,lga,crime,year,population,traveltimetogpominutes,areakm2,ariamin,ariamax,ariaavg,commercialkm2,industrialkm2,residentialkm2,ruralkm2,otherkm2,_2012erpage04persons,_2012erpage59persons,_2012erpage1014persons,_2012erpage1519persons,_2012erpage2024persons,_2012erpage2544persons,_2012erpage4564persons,_2012erpage6569persons,_2012erpage7074persons,_2012erpage7579persons,_2012erpage8084persons,_2012erpage85persons,_2012erptotal,_2007erpage04persons,_2007erpage59persons,_2007erpage1014persons,_2007erpage1519persons,_2007erpage2024persons,_2007erpage2544persons,_2007erpage4564persons,_2007erpage6569persons,_2007erpage7074persons,_2007erpage7579persons,_2007erpage8084persons,_2007erpage85persons,_2007erptotal,publichospitals,privatehospitals,communityhealthcentres,bushnursingcentres,alliedhealth,alternativehealth,childprotectionandfamily,dental,disability,generalpractice,homelessness,mentalhealth,pharmacies,agedcarehighcare,agedcarelowcare,agedcaresrs,kinderandorchildcare,primaryschools,secondaryschools,p12schools,otherschools,centrelinkoffices,medicareoffices,medicareaccesspoints,numberofhouseholds,occupiedprivatedwellings,populationinnonprivatedwellings,publichousingdwellings,dwellingswithnomotorvehicle,dwellingswithnointernet,equivalenthouseholdincome600week,personalincome400weekpersons,numberoffamilies,femaleheadedloneparentfamilies,maleheadedloneparentfamilies,residingnearpt,irsdmin,irsdmax,irsdavg,primaryschoolstudents,secondaryschoolstudents,tafestudents,universitystudents,holdsdegreeorhigherpersons,didnotcompleteyear12persons,unemployedpersons,volunteerspersons,requiresassistancewithcoreactivitiespersons,aged75andlivesalonepersons,unpaidcarertopersonwithdisabilitypersons,unpaidcarerofchildrenpersons,aboriginalortorresstraitislanderpersons,bornoverseaspersons,borninnonenglishspeakingcountrypersons,speaksloteathomepersons,poorenglishproficiencypersons,traveltimetonearestpublichospital,timetonearestpublichospitalwithmaternityservices,presentationstoemergencydepartments201213,traveltimetonearestpublichospitalwithemergencydepartment,presentationstoemergencydepartmentsduetoinjury,category45emergencydepartmentpresentations,numberofdwellings,locationx,locationy,absremotenesscategory,distance,last_crime,last2_crime,last_house,last2_house,last3_house,last_egm,last2_egm
0,whittlesea,5443.319654788793,2024,307895.5957697707,35.3660698145069,937.8790534636664,0.0063081685640103,0.0588394164835896,0.0259178993323821,0.0034751149145786,0.0078589954646825,0.1292231765672653,0.5638431348215178,0.2955995782319555,0.0724901804140869,0.0701226616070834,0.067056121429998,0.0700976965581519,0.0725983622927901,0.2981783835962985,0.2485520271619732,0.0373352306770521,0.0252521469942081,0.0176794154849876,0.0113757406297849,0.0092620331535849,240336.0,0.0688801636265392,0.0709794910379534,0.0763909441406253,0.0772450204173341,0.0715943050061889,0.2916549935357099,0.2546955054388797,0.0319066867256055,0.0229017941143407,0.0163069903464816,0.0101826937576625,0.0072614118526788,219107.6838304125,4.160841488582651e-06,0.0,2.912589042007856e-05,0.0,0.0005242660275614,0.000128986086146,8.321682977165302e-06,0.0001165035616803,5.825178084015712e-05,0.0002330071233606,8.321682977165302e-06,0.0001248252446574,0.0001123427201917,0.0031872045802543,0.0024382531123094,0.0003744757339724,0.0001955595499633,0.0002454896478263,5.409093935157446e-05,2.4965048931495905e-05,4.160841488582651e-06,4.160841488582651e-06,0.0,4.160841488582651e-06,77479.0,0.939264906487844,0.0198625683652264,0.0288504442942923,0.0365251979245018,0.1498616759520136,0.2806050671794938,0.8328837491449296,62114.0,0.1224361657597321,0.0236178639276169,0.006849835232011,946.3841547217426,1103.0189140348043,1024.4183156242832,0.0815941015911057,0.0690325211370747,0.0208582983822648,0.0343893549031356,0.122108215165435,0.3174971706277877,0.0229137540776246,0.0993525730643765,0.0387249517342387,0.0064243392583716,0.0847064110245656,0.2238075028293722,0.005563045070235,0.2465215365155449,0.2011350775580853,0.280636275880434,0.0474086279209107,18.036673056424824,18.56150261424207,0.2568173158073114,18.036673056424824,0.2072319834542881,0.477204289383732,78439.0,18.04642526894778,17.204575975365408,0,24.93332908939032,4863.661645617553,4689.233059710675,802961.7393507606,824073.0139282017,805682.2964435427,478.88593609586275,349.6925295781629
1,northerngrampians,12736.481542461566,2024,23635.890509051005,172.3206577126,11420.312344681086,1.8680595703904808,2.6331518006867363,2.241486506416233,0.000106065947967,0.0003891376377315,0.0031403273956158,0.8083627961128041,0.1880016729058813,0.0513854507705821,0.056416194202667,0.062165615267907,0.0587718597780084,0.0471133115068274,0.213966302004312,0.300007985307035,0.0653996646171045,0.0508664058133035,0.0366126327557294,0.0304639463387367,0.0268306316377864,25046.0,0.0538719198744576,0.061018883201682,0.0677479837293465,0.0658495448128021,0.0452473186712528,0.2369105670436676,0.2888412618120728,0.0508374704569853,0.0411823173612204,0.0369413778587894,0.029134299953695,0.0224170552240279,51354.61991975,0.0001597061407011,0.0,0.0002794857462269,0.0001197796055258,0.0047911842210332,0.0001597061407011,0.0002794857462269,0.0002395592110516,0.0013175756607841,0.0005589714924538,0.0003194122814022,0.0007186776331549,0.0003194122814022,0.0045116984748063,0.0080252335702307,0.0018366206180627,0.0003992653517527,0.0009582368442066,0.0001597061407011,7.985307035055498e-05,3.992653517527749e-05,0.0002395592110516,3.992653517527749e-05,0.0,10311.0,0.8077195189057464,0.0899300369467809,0.0551843408537064,0.0597437308387705,0.2518669915887115,0.4555329260013577,0.8143729997090486,6612.0,0.1208408953418027,0.0270719903206291,0.0041868780333721,814.1459295260688,1014.6012895030872,944.4762490909524,0.0752215922702227,0.0641220154914956,0.0134153158188932,0.0108200910325002,0.0718677633154994,0.4839096063243632,0.0184859857861534,0.2271420586121536,0.0711490856823444,0.0336580691527589,0.1034097261039687,0.2057813622933801,0.0118182544118821,0.0735047512576858,0.0325001996326758,0.0227581250499081,0.0028347839974447,14.027315308628,32.045696017031005,0.0790292923800207,72.88879116459,0.2791975139007537,0.512197155536633,12721.0,-181.40959077534532,75.76363318726084,1,196.59493314684403,10517.902843762218,9839.61138277359,382125.0,403750.0,323250.0,469.3569669292489,330.7869678187168
2,greatergeelong,7926.058465570415,2024,285457.7775380867,62.29856820919231,1399.3034942065206,0.1596251655420319,0.2304365185722394,0.1883640492090047,0.00241907771303,0.0265885872602994,0.08949145350794,0.6553113224297157,0.2261895590890146,0.0613096739610266,0.0600523428138992,0.0607578671879926,0.0663389985495364,0.0676712177587185,0.2581470328561518,0.2552421643438229,0.0505927981333165,0.0384451661726682,0.0308696474743015,0.0259033865169956,0.0246697042315696,253712.0,0.0600485116953129,0.0624607559277454,0.0675733852497993,0.0714511845134431,0.0679552487354128,0.2646279610518688,0.2495135453937575,0.0414957831014557,0.0359212372198779,0.0329564832971269,0.0255818642113151,0.0204140396028841,278168.0116984,7.88295390048559e-06,1.970738475121397e-05,2.7590338651699563e-05,0.0,0.0006227533581383,0.0001773664627609,3.547329255218515e-05,0.0001813079397111,0.0002167812322633,0.0002404300939648,5.912215425364192e-05,0.0002995522482184,0.0001970738475121,0.0048125433562464,0.0045799962161821,0.0012928044396796,0.0002167812322633,0.0002522545248155,6.306363120388472e-05,3.941476950242795e-05,1.576590780097118e-05,7.88295390048559e-06,1.1824430850728385e-05,3.941476950242795e-06,98432.0,0.8725106765565296,0.0537019554956169,0.0695347269049224,0.0629534726904922,0.1953967183636772,0.366313800390117,0.7822659297789337,65433.0,0.1443614078523069,0.0305044855042562,0.0076485503249205,897.6918500218414,1079.2544517619249,993.2238817849616,0.0753649807655924,0.0649043009396481,0.0232350066216812,0.0349372516869521,0.1231908620798385,0.3944748376111496,0.0256590149460805,0.1455075045721132,0.0539982342183262,0.0266010279371886,0.0954783376426814,0.2252002270290723,0.0084387021504698,0.152062180740367,0.0911821277669168,0.0936573752916693,0.0142720880368291,12.444650808985962,12.444650808985962,0.2486502274115059,12.444650808985962,0.234117276894079,0.5742985608520615,111225.0,-48.87723171300456,-36.68991184240461,0,61.115737833475926,7950.037373555917,7145.697051302158,831797.027795655,897780.809822407,794461.3970012697,475.0146738668147,377.2441936163483
3,colacotway,6023.863991681588,2024,38233.5926612475,155.59969483783334,6949.122615346827,1.5681908202515853,2.174351283917247,1.84731348975228,0.0002701320315666,0.0005219356931449,0.0064569322734089,0.7383857662013067,0.2543652338005728,0.0627663998336625,0.0637540284852895,0.0685102401497037,0.0683283085559829,0.04849776484042,0.2195134629379353,0.2750025990227674,0.0579322174862251,0.0453009668364694,0.03690612329764,0.027549641334858,0.0259382472190456,38476.0,0.0597064034389102,0.0668019942069605,0.0727064161872478,0.0730214447984669,0.0524821763329186,0.2389911113501896,0.2656581439685268,0.0475765372894079,0.0398848824799826,0.0347698782359886,0.0265437432636363,0.0218572684477638,75447.9080742,0.0001559413660463,2.5990227674394427e-05,5.198045534878885e-05,0.0,0.0019752573032539,0.0002858925044183,5.198045534878885e-05,0.0001559413660463,0.000857677513255,0.000467824098139,0.0001559413660463,0.0005198045534878,0.0002079218213951,0.0050680943965069,0.007381224659528,0.0,0.000467824098139,0.0005717850088366,0.0001039609106975,0.0001819315937207,5.198045534878885e-05,0.0002079218213951,2.5990227674394427e-05,0.0,15138.0,0.7628538271355769,0.0505070891568696,0.0436449871335587,0.0449568595791916,0.2242292749381906,0.4210595851499538,0.7888096181794161,9962.0,0.1160409556313993,0.0295121461553904,0.0026380214781833,834.4944160374114,1047.6129741256314,975.202877409311,0.0824929826385279,0.0732404615864435,0.0219357521571888,0.0115136708597567,0.0762293377689988,0.4808452022039713,0.0159839900197525,0.2115604532695706,0.0580881588522715,0.0312142634369477,0.0981650899261877,0.2274144921509512,0.0085767751325501,0.0704075267699345,0.0288231624909034,0.0212080257823058,0.0043923484769726,17.334360756670055,33.78905457301,0.0878207367298835,73.76088616478889,0.321982724365149,0.5217320658749622,19819.0,-143.76062415572602,-63.45961723849099,1,157.14401063260317,5754.102209259185,5848.49539805099,615961.5384615385,584769.2307692308,522346.1538461539,288.3041765827177,237.49986238222223
4,moorabool,5550.453486930695,2024,56108.26188885157,67.83638583896317,3529.342662244413,0.4447824718252219,0.9560870112699112,0.6905794666340862,0.0003777963911165,0.00147540460419,0.0254181808433282,0.7047087147351943,0.268019903426171,0.0649593905433482,0.0660139772083359,0.0642353459673865,0.0697916010829188,0.0605679027891456,0.2433891582194799,0.2844550777560914,0.0522728703645407,0.0353365233268274,0.0245545551847887,0.0175659510168104,0.0168576465403261,63532.0,0.0636079884149963,0.0703654332841697,0.0771137245232638,0.0779614705815008,0.0649379053937209,0.2592644275793501,0.2650638505865641,0.0375685216130818,0.0290731136310527,0.0237633011205172,0.0174094218409779,0.0138708414308042,92541.23026054444,4.722029843228609e-05,1.5740099477428697e-05,3.1480198954857394e-05,0.0,0.0012906881571491,4.722029843228609e-05,6.296039790971479e-05,9.444059686457218e-05,0.0003462821885034,0.0002833217905937,0.0001259207958194,0.0001888811937291,0.0001574009947742,0.0017943713404268,0.0029119184033243,0.0031795000944405,0.0001259207958194,0.0006138638796197,3.1480198954857394e-05,1.5740099477428697e-05,0.0,3.1480198954857394e-05,0.0,0.0,23844.0,0.8582556785090274,0.0567122888759464,0.0425160163075131,0.0409143855562026,0.1799650553290623,0.3754403623553095,0.8119862439188056,16524.0,0.1284192689421447,0.0317719680464778,0.0026715914622182,896.139662305227,1071.3220282377686,1004.5151263603276,0.081879997481584,0.0675879871560788,0.0151577157967638,0.0398696719763268,0.118412768368696,0.4008845935906315,0.0253258200591827,0.1791852924510482,0.0455990681861109,0.0188094188755272,0.0953850028332179,0.2282629226216709,0.0096644210791412,0.1112825033054208,0.0484480261915255,0.0387678650129068,0.0046905496442737,16.103121579934736,22.44516659597789,0.255748382614698,34.70976131328948,0.2990667907408893,0.6084769773838461,27472.0,-69.11785854805849,32.16127004986686,1,76.23401905638903,5886.833576386884,4802.711126299235,719150.0,747000.0,675800.0,258.59076081775544,220.43569050245898
5,centralgoldfields,6646.245171914619,2024,34069.546340744564,107.4848690745,3732.502132032456,0.8284005353380033,1.449899481747252,1.082496898582416,0.0002462605731217,0.0021664880836665,0.0133812687374613,0.765259023191179,0.2189469594145715,0.049461814454126,0.0545019648043738,0.0574064582265504,0.0596275414317444,0.0399794976934905,0.1934620422575317,0.3124038954382368,0.0730109915143231,0.058915655789054,0.0423714334529301,0.02864627826186,0.0302124266757788,35118.0,0.0503027678706087,0.0601500589006672,0.0703501162225136,0.0638214376066246,0.0398614965256301,0.2174928429652509,0.3085503971911925,0.0547462521223502,0.0428835183528547,0.0339464436716379,0.0303551056258251,0.0275395629448442,36443.62995919999,0.000142377128538,0.0,0.000142377128538,0.0,0.0021071815023634,0.000512557662737,5.695085141522866e-05,0.0002847542570761,0.0002562788313685,0.0005695085141522,0.0002278034056609,0.0008542627712284,0.0002562788313685,0.0047269206674639,0.0057805114186457,0.0008542627712284,0.0003986559599066,0.0008257873455208,5.695085141522866e-05,8.542627712284299e-05,0.0,0.0001708525542456,0.0,0.0,14945.0,0.8394193694715355,0.061295078249036,0.0439442050351553,0.0530732592424586,0.2572011794057609,0.5108732017397123,0.8788892606222817,9241.0,0.1369981603722541,0.0328968726328319,0.0031831440421202,821.0984320529352,1027.0319425210623,946.327957747706,0.0696793667065322,0.0624466085767982,0.0179964690472122,0.0168859274446152,0.1066974201264309,0.4657155874480324,0.0231220456745828,0.2243863545760009,0.0628737399624124,0.0354803804316874,0.1123355544165385,0.201634489435617,0.0105359075118173,0.0924027564212085,0.033145395523663,0.0185375021356569,0.0018509026709949,9.1350206115675,15.138019358738084,0.1123485068766444,54.851359155875,0.2928454181336021,0.4687033297227096,17636.0,-89.84810326725223,83.84984649063189,1,122.8962099384084,6768.508089120638,6198.095397980324,622500.0,609071.4285714285,543428.5714285715,340.157185954086,272.3066863629363
6,mitchell,7694.4960153753345,2024,80708.13424945719,90.47371402732308,9937.764781555485,0.9832786718445284,1.5443526259560107,1.2214237927582523,0.0002133734550679,0.0006195975063942,0.0080768096136851,0.5169416257938698,0.474148593630983,0.0653902898132917,0.0654072478760026,0.070155505435059,0.0711221150095813,0.0538079329817361,0.2433142837762214,0.2784513897132392,0.0541640522986654,0.0371551153996167,0.0262849972019196,0.0185012464176092,0.0162458240770574,58969.0,0.0687133945727608,0.0695705845576226,0.0761821710717341,0.0718571294550248,0.052199694489922,0.2622776965680474,0.270991421980783,0.0416875186758419,0.031913918636326,0.0253566714762195,0.0162683549473315,0.0129814435683859,67190.68598227143,8.479031355457952e-05,0.0,0.0001356645016873,0.0,0.0013905611422951,8.479031355457952e-05,3.391612542183181e-05,0.0001187064389764,0.0002713290033746,0.0003561193169292,0.00018653868982,0.0004917838186165,0.0001526225643982,0.0028828706608557,0.0037816479845342,0.0,0.0003391612542183,0.0005256999440383,0.0001017483762654,6.783225084366361e-05,1.6958062710915903e-05,8.479031355457952e-05,0.0,3.391612542183181e-05,21418.0,0.7661298960974042,0.1339665083729067,0.0437033598743171,0.0324561716713678,0.1639233048880637,0.3713698758053973,0.80857222896629,14951.0,0.1278175372884757,0.0282255367533944,0.0019574092888575,913.519435240878,1062.5696698220022,997.078375604968,0.0802964269361868,0.0729705438450711,0.0197052688700842,0.0152792145025352,0.0833488782241516,0.4264613610541132,0.0213332428903322,0.1767538876358765,0.0462955112008004,0.0171785175261578,0.0898607743051433,0.2190981702250335,0.0100900473129949,0.1054791500618969,0.0505350268785294,0.0449897403720599,0.0050704607505638,22.333882389378463,33.952185210134616,0.1524677932087707,62.73754446416154,0.2698505748973573,0.4318174478920851,28007.0,36.61821003587524,58.51064406421535,1,69.02455197276382,6923.713516568601,6465.2151474823295,611368.4210526316,632315.7894736842,554342.1052631579,300.7436418363648,238.2289035068954
7,alpine,4566.532412728731,2024,19433.98243463841,262.15861079061114,12672.409204325486,2.009197924980048,3.76694998669859,2.820244296421271,3.605248648490687e-05,0.0001904191483685,0.0021154318974063,0.2999028335358138,0.6977552629319264,0.0512547663385652,0.060388401170524,0.062161922497118,0.0600336969052052,0.038396736720759,0.2020927551653808,0.3167952469628447,0.068324909107032,0.0504566817415979,0.0378646803227808,0.0271348762968874,0.0250953267713044,22554.0,0.0684931506849315,0.0630136986301369,0.0520547945205479,0.073972602739726,0.0383561643835616,0.2301369863013698,0.3671232876712328,0.0356164383561643,0.0191780821917808,0.0136986301369863,0.0246575342465753,0.0136986301369863,6570.0,0.0002216901658242,0.0,0.000266028198989,4.4338033164848805e-05,0.0019065354260884,0.0001773521326593,0.0,4.4338033164848805e-05,0.0003103662321539,0.0004877183648133,0.0,0.0002216901658242,0.000266028198989,0.006429014808903,0.0054979161124412,0.001152788862286,0.0001330140994945,0.0010641127959563,0.0001330140994945,0.0001773521326593,0.0,0.0001330140994945,0.0,0.0,9021.0,0.7209845884157475,0.3393470162880724,0.0200861880067197,0.0452852238696954,0.1790227156526185,0.439308280678417,0.8205298747367255,5953.0,0.0925583739291113,0.0305728204266756,0.000425709586119,949.2270221231912,1045.1153960288195,996.1972311752872,0.0769708255741775,0.0693446838698235,0.0208388755874789,0.0125476633856522,0.1001596169193934,0.4698057994147379,0.0206615234548195,0.2547220005320564,0.0513434424048949,0.0277999467943602,0.0988294759244479,0.2059058260175578,0.0105081138600691,0.1176288019863438,0.0621175844639531,0.0586148798439301,0.0091779728651237,28.690645261707942,46.287498010572776,0.1554428326813425,90.58387017938888,0.2833802122051827,0.6094517170915695,13691.0,199.7208846883917,121.5481146672744,2,233.799863045047,4131.937459039596,3188.3717350911625,661388.8888888889,665388.8888888889,527277.7777777778,158.5905693990273,136.03076879081698
8,benalla,8848.508745962477,2024,56842.33358644668,152.95647700153043,9197.66746221638,1.4805875046578063,1.9577889170821725,1.6973355312842295,0.0004146555347403,0.0019336623631896,0.0076392171869743,0.8265232948152816,0.163489170099814,0.0569760633106801,0.0597618751885302,0.0619089021771918,0.062955799634473,0.04301151587203,0.1999041822666217,0.2864063026775733,0.0671256454388984,0.0547403161985201,0.0409886970562663,0.0338555991269939,0.0323651010522206,56357.0,0.0503037214131582,0.057904844068053,0.0733882006218915,0.0655607196457073,0.0446946829946826,0.20541402953487,0.2974052213559892,0.0555200693617261,0.047339169321382,0.0398468993505818,0.0330425395381454,0.0295799027938125,95714.80746354,8.872012349841191e-05,3.548804939936476e-05,8.872012349841191e-05,0.0,0.0020760508898628,5.323207409904714e-05,1.774402469968238e-05,0.0001419521975974,0.0003548804939936,0.0004081125680926,0.0001242081728977,0.0002839043951949,0.0002484163457955,0.0063346168177866,0.0085881079546462,0.0005678087903898,0.0002661603704952,0.0006387848891885,0.0001242081728977,5.323207409904714e-05,3.548804939936476e-05,8.872012349841191e-05,0.0,1.774402469968238e-05,22796.0,0.840482177192723,0.0521742345806833,0.055687028546073,0.0479958586007987,0.2525883745008135,0.4612212668889279,0.8501491489735041,14931.0,0.1228986672024646,0.0256513294487978,0.0025223262202879,799.0869968520819,1039.9548120398915,955.0398806524788,0.0748975282573593,0.0654754511418279,0.0196958674166474,0.0099721418812214,0.0695210887733555,0.500949305321433,0.021115389392622,0.2064517273808045,0.0653157549195308,0.0304310023599552,0.1026314388629629,0.2007558954522064,0.0138403392657522,0.0849406462373795,0.0416629699948542,0.0361268342885533,0.006032968397892,16.239401262847608,27.353083906314783,0.1972622671665631,49.7493684980913,0.2767123074744864,0.5342780314748882,27044.0,105.08221643893998,132.3430860041574,1,168.98806059844594,8138.300643418711,7046.601814835122,509818.1818181818,639363.6363636364,408681.8181818182,255.38142919349227,213.8802225874174
9,campaspe,10484.200695990861,2024,49123.902999232254,189.07453389285715,5028.82778968127,1.5314399030063908,1.8945229435094424,1.690766446797035,0.0006979271801312,0.0013734608651333,0.0095268723806037,0.8637713304885724,0.1246304090855593,0.0593469370980005,0.0632513408544479,0.0692723424367589,0.067566734479995,0.0474487803875634,0.2096664817212255,0.2762879395022912,0.0618539752995088,0.0499558185890717,0.0381809588393646,0.0293857756406304,0.0277829151511415,48663.0,0.0611716832786221,0.0719704650681278,0.0914042251402188,0.0661641150501598,0.0401668203068294,0.220242256554957,0.2743898866603999,0.0566218206700517,0.0368611463129806,0.0337186988593312,0.0269695997543126,0.0203192823440087,59948.667282,0.0001232969607299,0.0,0.0001849454410948,2.054949345498633e-05,0.0028358300967881,0.0002465939214598,2.054949345498633e-05,0.0002054949345498,0.0004931878429196,0.0007192322709245,0.0002465939214598,0.0006986827774695,0.0003082424018247,0.0047674824815568,0.007438916630705,0.0,0.0005137373363746,0.0007192322709245,0.0001027474672749,0.0001027474672749,2.054949345498633e-05,0.0001849454410948,2.054949345498633e-05,0.0,19354.0,0.8699014199149859,0.0513249525187663,0.0720810346386904,0.0516867142986343,0.2638599981911911,0.4559780923840033,0.8332644414591299,12919.0,0.1244678380679619,0.0286399876151404,0.0020767066052509,806.9466003150811,1040.2480931129785,957.2535849878165,0.0817253354704806,0.0718204796251772,0.0191315784065922,0.0095966134434786,0.0636212317366377,0.5111070012124201,0.0201385035858866,0.2091527443848509,0.060148367342745,0.0326736945934282,0.0996239442697737,0.2203522183178184,0.0221729034379302,0.0576002301543266,0.0270842323736719,0.0220496064772003,0.0046852845077368,15.634500803835047,20.62032565600409,0.3456722153937694,42.85885602437505,0.2195010124327173,0.6575125428625389,22114.0,-44.44594721611685,184.25438951404897,1,189.53923677996787,10015.490829539527,8440.652980181767,347541.6666666667,353375.0,308291.6666666667,265.3093008550988,223.95994276528788
